Date,Name,Year,Letterboxd URI,Rating,Language,Genres
6/30/2022,Manam,2014,https://boxd.it/7rrw,4.5,Telugu,"Comedy, Family, Fantasy, Drama"
6/30/2022,Dhruva,2016,https://boxd.it/etYQ,4,Telugu,"Thriller, Crime, Action"
6/30/2022,Saaho,2019,https://boxd.it/gdaa,2,Telugu,"Adventure, Action, Thriller"
6/30/2022,Jathi Ratnalu,2021,https://boxd.it/tXxq,0.5,Telugu,"Comedy, Drama"
6/30/2022,Spyder,2017,https://boxd.it/g8vW,2.5,Tamil,"Action, Thriller"
6/30/2022,Maryada Ramanna,2010,https://boxd.it/tuI,3,Telugu,"Action, Drama, Comedy"
6/30/2022,Maharshi,2019,https://boxd.it/jKog,3.5,Telugu,"Drama, Action"
6/30/2022,Evaru,2019,https://boxd.it/mq76,3.5,Telugu,"Thriller, Crime"
6/30/2022,Oh! Baby,2019,https://boxd.it/mpKG,4,Telugu,"Fantasy, Comedy, Drama"
6/30/2022,Oopiri,2016,https://boxd.it/cPiy,3.5,Telugu,"Family, Romance, Drama"
6/30/2022,Son of Satyamurthy,2015,https://boxd.it/b0uw,3.5,Telugu,"Drama, Action"
6/30/2022,Most Eligible Bachelor,2021,https://boxd.it/qOVW,3.5,Telugu,Romance
6/30/2022,Fidaa,2017,https://boxd.it/gKvK,3,Telugu,"Comedy, Drama, Romance"
6/30/2022,Vakeel Saab,2021,https://boxd.it/p7Ka,3,Telugu,"Thriller, Drama, Action, Crime"
6/30/2022,Race Gurram,2014,https://boxd.it/7N6A,3.5,Telugu,"Comedy, Action"
6/30/2022,Aravinda Sametha Veera Raghava,2018,https://boxd.it/jsaU,4.5,Telugu,"Drama, Action"
6/30/2022,Bheeshma,2020,https://boxd.it/p8Qy,4.5,Telugu,"Romance, Action, Comedy"
6/30/2022,Aarya 2,2009,https://boxd.it/1djG,3,Telugu,"Action, Comedy"
6/30/2022,Janatha Garage,2016,https://boxd.it/ehpu,3.5,Telugu,"Action, Drama"
6/30/2022,Srimanthudu,2015,https://boxd.it/bTA0,3,Telugu,"Action, Drama"
6/30/2022,Colour Photo,2020,https://boxd.it/pN4q,4,Telugu,"Romance, Drama"
6/30/2022,World Famous Lover,2020,https://boxd.it/oxik,2,Telugu,"Romance, Drama"
6/30/2022,Yevadu,2014,https://boxd.it/6prM,3,Telugu,"Thriller, Action"
6/30/2022,DJ: Duvvada Jagannadham,2017,https://boxd.it/fMIu,1,Telugu,"Action, Crime, Comedy"
6/30/2022,Khaleja,2010,https://boxd.it/nKK,1.5,Telugu,Action
6/30/2022,Aarya,2004,https://boxd.it/2Pgi,3,Telugu,"Drama, Romance, Action"
6/30/2022,Julayi,2012,https://boxd.it/48eC,3.5,Telugu,"Action, Crime, Comedy"
6/30/2022,Nannaku Prematho...,2016,https://boxd.it/cDnG,3,Telugu,Action
6/30/2022,Sarrainodu,2016,https://boxd.it/d1BC,3.5,Telugu,"Drama, Action"
6/30/2022,Atharintiki Daaredi,2013,https://boxd.it/6Dmw,4,Telugu,"Comedy, Drama, Action"
6/30/2022,F2: Fun and Frustration,2019,https://boxd.it/kMEi,1.5,Telugu,Comedy
6/30/2022,Temper,2015,https://boxd.it/aC9a,4.5,Telugu,"Crime, Drama, Action"
6/30/2022,Nota,2018,https://boxd.it/iyfY,3,Tamil,Drama
6/30/2022,Clueless,1995,https://boxd.it/1Ygk,2.5,English,"Comedy, Romance"
6/30/2022,Big Hero 6,2014,https://boxd.it/5rje,4,English,"Animation, Comedy, Action, Family, Adventure"
6/30/2022,Tangled,2010,https://boxd.it/15gO,4,English,"Family, Animation"
6/30/2022,Frozen,2013,https://boxd.it/3GNa,4,English,"Fantasy, Animation, Adventure, Family"
6/30/2022,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,3,English,"Action, Adventure, Fantasy"
6/30/2022,The Lego Movie,2014,https://boxd.it/4pDO,3.5,English,"Family, Animation, Adventure, Fantasy, Comedy"
6/30/2022,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3,English,"Adventure, Action, Science Fiction"
6/30/2022,Fresh,2022,https://boxd.it/tCNi,4.5,English,"Horror, Thriller, Drama"
6/30/2022,Wreck-It Ralph,2012,https://boxd.it/2TTS,3,English,"Adventure, Comedy, Family, Animation"
6/30/2022,The Greatest Showman,2017,https://boxd.it/acjI,3.5,English,Drama
6/30/2022,Brave,2012,https://boxd.it/bVG,3.5,English,"Comedy, Animation, Family, Fantasy, Adventure, Action"
6/30/2022,Now You See Me,2013,https://boxd.it/2Bsu,2,English,"Thriller, Crime"
6/30/2022,X-Men: First Class,2011,https://boxd.it/FOA,3,English,"Adventure, Action, Science Fiction"
6/30/2022,Pitch Perfect,2012,https://boxd.it/3OsE,4,English,"Music, Comedy, Romance"
6/30/2022,Paddington,2014,https://boxd.it/3RKw,4,English,"Family, Adventure, Comedy"
6/30/2022,Beauty and the Beast,2017,https://boxd.it/ar0c,4,English,"Romance, Fantasy, Family"
6/30/2022,X-Men: Apocalypse,2016,https://boxd.it/7eJi,2,English,"Science Fiction, Adventure, Action, Fantasy"
6/30/2022,X-Men,2000,https://boxd.it/1a7s,1.5,English,"Science Fiction, Action, Adventure"
6/30/2022,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,2,English,"Comedy, Family, Adventure"
6/30/2022,Murder on the Orient Express,2017,https://boxd.it/dHjA,3,English,"Crime, Mystery, Drama"
6/30/2022,The Pursuit of Happyness,2006,https://boxd.it/28PE,3.5,English,Drama
6/30/2022,The Parent Trap,1998,https://boxd.it/1XJq,4,English,"Family, Comedy"
6/30/2022,X2,2003,https://boxd.it/1a7i,1,English,"Action, Adventure, Science Fiction"
7/3/2022,Pelli SandaD,2021,https://boxd.it/xpkq,1.5,Telugu,"Romance, Family, Drama"
